,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
0,ABILENE-CHRISTIAN,56.6,8.5,0.53,0.464,0.349,0.663,0.232,-3.200000000000003,100.1,23.5,55.5,8.8,0.522,0.455,0.431,0.666,0.287,103.3,30.1,8.9,0.373,0.361,52.9,0.553,0.51,68.0,-11.86,10.5,-7.1,0.354,0.376,47.1,0.554,18.5,0.511,0.448,1101
1,AIR-FORCE,60.5,5.7,0.506,0.436,0.381,0.717,0.273,-2.9000000000000057,104.6,26.1,59.7,9.8,0.542,0.457,0.326,0.71,0.231,107.5,24.6,8.6,0.467,0.364,49.7,0.57,0.539,69.0,-3.06,8.6,1.0,0.388,0.363,50.3,0.544,15.0,0.482,0.364,1102
2,AKRON,54.5,8.6,0.556,0.466,0.366,0.683,0.25,9.0,113.1,29.8,45.0,6.9,0.504,0.444,0.327,0.706,0.231,104.1,28.1,8.6,0.332,0.365,48.8,0.536,0.483,68.0,3.59,8.1,-1.21,0.484,0.372,51.2,0.58,15.0,0.555,0.75,1103
3,ALABAMA-AM,51.9,4.4,0.446,0.405,0.396,0.669,0.265,-24.0,93.4,30.0,49.9,9.1,0.538,0.476,0.34,0.681,0.231,117.4,36.7,10.4,0.341,0.364,53.6,0.563,0.534,65.4,-26.99,5.2,-11.09,0.289,0.28,46.4,0.487,17.3,0.456,0.069,1105
4,ALABAMA-BIRMINGHAM,60.2,13.2,0.518,0.462,0.373,0.736,0.274,2.299999999999997,105.1,30.2,50.2,8.2,0.495,0.431,0.293,0.692,0.203,102.8,28.1,9.7,0.377,0.342,47.6,0.524,0.484,67.8,-1.17,7.0,-1.83,0.322,0.348,52.4,0.556,17.3,0.515,0.515,1412
5,ALABAMA-STATE,41.7,8.0,0.447,0.392,0.346,0.637,0.22,-12.0,93.2,34.6,49.1,8.0,0.498,0.444,0.42,0.679,0.285,105.2,32.3,10.5,0.318,0.343,49.6,0.534,0.491,69.6,-19.75,6.8,-10.75,0.368,0.297,50.4,0.478,18.6,0.447,0.258,1106
6,ALABAMA,48.2,11.6,0.483,0.424,0.391,0.653,0.255,5.599999999999994,100.3,34.1,43.4,8.3,0.461,0.405,0.399,0.671,0.268,94.7,26.6,9.3,0.34,0.333,46.2,0.5,0.442,67.4,11.29,8.6,7.47,0.372,0.317,53.8,0.515,17.3,0.487,0.559,1104
7,ALBANY-NY,49.0,5.6,0.517,0.467,0.333,0.757,0.252,8.5,109.2,33.7,54.7,10.1,0.505,0.431,0.309,0.708,0.218,100.7,23.0,8.6,0.432,0.341,44.5,0.536,0.5,65.3,-0.16,7.8,-4.69,0.266,0.372,55.5,0.555,15.6,0.502,0.6,1107
8,ALCORN-STATE,53.1,9.2,0.488,0.429,0.328,0.652,0.214,2.0999999999999943,100.0,32.5,55.2,6.9,0.467,0.418,0.385,0.648,0.249,97.9,30.2,9.9,0.322,0.306,48.6,0.5,0.471,69.2,-12.33,9.4,-10.95,0.359,0.332,51.4,0.515,17.3,0.483,0.563,1108
9,AMERICAN,49.0,6.9,0.503,0.449,0.307,0.618,0.19,-10.400000000000006,94.0,21.7,53.6,8.3,0.525,0.469,0.414,0.704,0.291,104.4,28.0,10.1,0.306,0.368,53.4,0.56,0.513,65.2,-10.3,10.6,-3.5,0.343,0.318,46.6,0.522,18.3,0.517,0.267,1110
10,APPALACHIAN-STATE,55.3,7.6,0.491,0.421,0.378,0.681,0.258,-3.200000000000003,101.7,29.4,50.0,10.1,0.515,0.459,0.432,0.686,0.296,104.9,26.5,8.3,0.3,0.376,49.3,0.55,0.494,72.1,-8.67,7.7,-1.6,0.417,0.338,50.7,0.525,16.5,0.479,0.3,1111
11,ARIZONA-STATE,48.4,8.8,0.514,0.434,0.319,0.749,0.239,-4.200000000000003,108.0,24.4,63.5,11.3,0.554,0.479,0.3,0.712,0.213,112.2,32.2,7.1,0.409,0.364,54.9,0.578,0.559,72.5,4.02,8.1,7.11,0.438,0.366,45.1,0.55,12.7,0.487,0.455,1113
12,ARIZONA,51.3,8.8,0.537,0.477,0.405,0.765,0.31,15.799999999999997,113.8,33.1,53.4,7.7,0.477,0.421,0.286,0.684,0.196,98.0,25.7,7.0,0.364,0.31,44.9,0.506,0.485,67.3,18.25,8.1,7.63,0.305,0.39,55.1,0.58,14.5,0.515,0.865,1112
13,ARKANSAS-LITTLE-ROCK,48.9,11.7,0.502,0.443,0.333,0.741,0.246,0.10000000000000853,102.7,28.8,54.7,6.9,0.514,0.445,0.402,0.717,0.288,102.6,27.1,8.1,0.381,0.36,49.4,0.552,0.497,66.1,-6.07,8.6,-3.8,0.342,0.346,50.6,0.54,16.9,0.494,0.469,1114
14,ARKANSAS-PINE-BLUFF,48.1,9.5,0.463,0.403,0.337,0.652,0.22,-15.299999999999997,88.2,29.8,59.1,8.4,0.512,0.448,0.564,0.708,0.399,103.5,34.9,13.6,0.399,0.318,53.2,0.561,0.535,68.7,-22.81,12.4,-10.28,0.36,0.335,46.8,0.494,22.4,0.441,0.219,1115
15,ARKANSAS-STATE,48.1,7.3,0.522,0.461,0.415,0.638,0.265,6.099999999999994,106.1,31.4,54.1,10.3,0.489,0.433,0.413,0.685,0.283,100.0,27.2,8.2,0.352,0.316,47.9,0.527,0.496,68.8,0.87,7.8,-2.1,0.323,0.38,52.1,0.547,16.2,0.5,0.625,1117
16,ARKANSAS,49.8,12.4,0.514,0.461,0.381,0.761,0.29,7.6000000000000085,110.7,31.7,50.4,7.7,0.478,0.417,0.39,0.705,0.275,103.1,33.9,7.2,0.367,0.332,50.5,0.519,0.467,71.7,14.04,10.8,8.6,0.295,0.365,49.5,0.558,14.3,0.5,0.722,1116
17,ARMY,61.8,4.9,0.518,0.442,0.28,0.655,0.183,-0.5999999999999943,99.7,27.1,51.7,11.4,0.498,0.44,0.336,0.69,0.232,100.3,23.5,10.2,0.349,0.33,48.2,0.529,0.499,72.0,-5.84,7.6,-4.1,0.433,0.353,51.8,0.538,18.3,0.51,0.406,1119
18,AUBURN,48.3,13.4,0.511,0.437,0.425,0.672,0.285,1.0999999999999943,106.1,30.3,50.5,7.9,0.506,0.437,0.388,0.72,0.279,105.0,33.2,8.1,0.388,0.357,51.6,0.545,0.487,75.2,8.17,9.6,7.33,0.401,0.366,48.4,0.544,15.5,0.485,0.563,1120
19,AUSTIN-PEAY,40.2,6.3,0.535,0.469,0.405,0.708,0.286,-8.399999999999991,106.9,24.4,51.3,7.9,0.562,0.491,0.297,0.729,0.217,115.3,35.3,7.7,0.38,0.37,55.1,0.587,0.566,71.8,-11.0,7.8,-2.32,0.373,0.355,44.9,0.569,15.4,0.537,0.367,1122
20,BALL-STATE,56.9,8.8,0.54,0.461,0.346,0.718,0.248,4.299999999999997,106.7,28.3,46.9,9.5,0.486,0.422,0.352,0.718,0.253,102.4,28.2,9.8,0.358,0.356,48.8,0.524,0.459,72.7,-1.45,8.1,-3.57,0.418,0.379,51.2,0.571,17.5,0.52,0.618,1123
21,BAYLOR,59.1,13.0,0.53,0.471,0.338,0.723,0.244,14.0,111.5,40.2,58.2,9.6,0.462,0.405,0.299,0.713,0.213,97.5,28.6,8.3,0.351,0.323,43.5,0.498,0.449,65.3,19.75,7.9,11.87,0.328,0.359,56.5,0.562,17.1,0.525,0.771,1124
22,BELMONT,60.3,6.8,0.558,0.469,0.306,0.768,0.235,10.700000000000003,110.7,26.3,45.8,10.8,0.478,0.427,0.321,0.746,0.239,100.0,24.7,8.2,0.321,0.318,47.9,0.518,0.478,69.0,4.28,6.3,-1.69,0.526,0.342,52.1,0.59,16.3,0.609,0.767,1125
23,BETHUNE-COOKMAN,53.3,7.9,0.472,0.415,0.274,0.662,0.182,-9.399999999999991,98.7,31.1,59.6,9.4,0.529,0.469,0.388,0.673,0.261,108.1,35.0,8.1,0.356,0.335,53.0,0.557,0.543,70.1,-19.44,10.6,-11.21,0.352,0.32,47.0,0.498,15.3,0.467,0.313,1126
24,BINGHAMTON,53.4,6.9,0.508,0.437,0.316,0.705,0.223,-4.3999999999999915,100.4,23.4,55.0,9.0,0.518,0.45,0.317,0.683,0.216,104.8,26.8,8.6,0.379,0.361,51.4,0.544,0.504,67.4,-11.99,7.7,-5.79,0.39,0.362,48.6,0.538,16.4,0.485,0.375,1127
25,BOISE-STATE,47.7,6.1,0.52,0.45,0.412,0.712,0.294,5.6000000000000085,106.7,28.2,48.8,13.7,0.477,0.427,0.412,0.729,0.3,101.1,26.3,8.5,0.3,0.336,48.7,0.525,0.466,70.4,5.52,7.0,2.72,0.403,0.348,51.3,0.558,16.0,0.519,0.625,1129
26,BOSTON-COLLEGE,56.1,7.3,0.516,0.448,0.296,0.68,0.201,-8.099999999999994,100.0,25.7,58.0,10.0,0.532,0.47,0.396,0.756,0.299,108.1,24.1,10.6,0.352,0.354,49.8,0.574,0.532,72.5,2.2,7.7,8.08,0.364,0.374,50.2,0.541,17.9,0.491,0.281,1130
27,BOSTON-UNIVERSITY,55.0,7.7,0.517,0.443,0.336,0.696,0.234,3.3000000000000114,102.9,27.6,57.3,9.7,0.501,0.425,0.365,0.684,0.25,99.6,27.9,9.9,0.417,0.363,49.9,0.533,0.47,69.9,-2.43,11.7,-3.66,0.419,0.354,50.1,0.547,17.2,0.507,0.563,1131
28,BOWLING-GREEN-STATE,46.9,7.1,0.481,0.425,0.361,0.667,0.241,-4.200000000000003,100.1,28.2,47.8,9.6,0.525,0.464,0.337,0.727,0.245,104.3,28.0,8.5,0.357,0.342,51.2,0.559,0.532,72.7,-6.0,9.4,-2.0,0.329,0.342,48.8,0.514,15.1,0.466,0.406,1132
29,BRADLEY,50.9,10.5,0.488,0.425,0.418,0.673,0.281,-7.5,95.1,26.2,58.5,9.3,0.485,0.418,0.403,0.715,0.289,102.6,29.5,11.3,0.391,0.342,50.8,0.528,0.467,68.6,-2.84,8.9,2.94,0.354,0.356,49.2,0.524,19.5,0.462,0.394,1133
30,BRIGHAM-YOUNG,57.0,11.7,0.511,0.456,0.422,0.733,0.31,8.5,106.7,29.2,53.4,7.3,0.48,0.417,0.311,0.645,0.201,98.2,24.9,9.2,0.389,0.324,46.5,0.506,0.476,75.6,8.22,8.7,1.87,0.325,0.344,53.5,0.555,16.0,0.509,0.647,1140
